Hash,vendorPartNo,imageName,TRSku,PUSku,category,model,description,unitPrice,TRQty,PUQty,ImageURL
50100-333-02,50100-333-02,50100-333-2,955820,855820,GOGGLES,RACECRAFT,RACECRAFT STUU CLR LENS,42.25,0,648,https://3366283.app.netsuite.com/core/media/media.nl?id=127494&c=3366283&h=28254d3eaa22450085fc
50100-334-02,50100-334-02,50100-334-2,955821,855821,GOGGLES,RACECRAFT,RACECRAFT SAHARA CLR LENS,42.25,50,631,https://3366283.app.netsuite.com/core/media/media.nl?id=127646&c=3366283&h=b7f01699a96dd64e19af
50100-335-02,50100-335-02,50100-335-2,955822,855822,GOGGLES,RACECRAFT,RACECRAFT PINACLES CLR LENS,42.25,21,83,https://3366283.app.netsuite.com/core/media/media.nl?id=128270&c=3366283&h=6a4ea978aee67ac08856
50100-336-02,50100-336-02,50100-336-2,955823,855823,GOGGLES,RACECRAFT,RACECRAFT ERGOFLASH CLR LENS,42.25,0,18,https://3366283.app.netsuite.com/core/media/media.nl?id=128666&c=3366283&h=9d573cde20fb3d55d5ee
50100-337-02,50100-337-02,50100-337-2,955824,855824,GOGGLES,RACECRAFT,RACECRAFT ANTHEM CLR LENS,42.25,0,792,https://3366283.app.netsuite.com/core/media/media.nl?id=128702&c=3366283&h=1d24d7a9c21695995a2c
50100-338-02,50100-338-02,50100-338-2,955825,855825,GOGGLES,RACECRAFT,RACECRAFT POLIET CLR LENS,42.25,0,640,https://3366283.app.netsuite.com/core/media/media.nl?id=128522&c=3366283&h=9a2791c992bd2d34d165
50100-385-02,50100-385-02,50100-385-2,956213,856213,GOGGLES,RACECRAFT,RACECRAFT SUEZ CLR LENS,42.25,0,49,https://3366283.app.netsuite.com/core/media/media.nl?id=127845&c=3366283&h=8d8c0abfdb87661cb83b
50100-386-02,50100-386-02,50100-386-2,956214,856214,GOGGLES,RACECRAFT,RACECRAFT KILROY CLR LENS,42.25,0,314,https://3366283.app.netsuite.com/core/media/media.nl?id=128755&c=3366283&h=ce40b22b436f5fbb4cb2
50103-001-02,50103-001-02,50103-001-2,951142,851142,GOGGLES,SNOW,RC SNOW ABYSS BLK YEL LENS,45.47,0,247,https://3366283.app.netsuite.com/core/media/media.nl?id=160678&c=3366283&h=fMMa1paRj3jH_qaOl6EotvjemPOpPHYX35X8c7X-A61_Zdp4
50103-002-02,50103-002-02,50103-002-2,951143,851143,GOGGLES,SNOW,RC SNOW COBALT BLUE YEL LENS,45.47,0,244,https://3366283.app.netsuite.com/core/media/media.nl?id=161420&c=3366283&h=G8De1ckR8uRKBo2GeZgLvC9xp02YiXIpE4jsQhJ5680ohGIR
50103-003-02,50103-003-02,50103-003-2,951144,851144,GOGGLES,SNOW,RC SNOW FIRE RED YEL LENS,45.47,0,606,https://3366283.app.netsuite.com/core/media/media.nl?id=160947&c=3366283&h=XdY_KjwYcwt9zOEkrsi9hxtyLFawYt_nn_nAX7hrFb2iaI9V
50103-026-02,50103-026-02,50103-026-2,952033,852033,GOGGLES,SNOW,RC SNOW ATTACK YEL YEL LENS,45.47,54,962,https://3366283.app.netsuite.com/core/media/media.nl?id=161762&c=3366283&h=BGzKaV25NDT-rbOnmSr9zFfQsXQ-rcA66bEVaFPq1dL1zMAC
50103-291-02,50103-291-02,50103-291-2,955209,855209,GOGGLES,SNOW,RC SNOW CRUSH 2 YEL VTD LENS,45.47,0,830,https://3366283.app.netsuite.com/core/media/media.nl?id=113803&c=3366283&h=d7c74355505179b75b1f
50103-292-02,50103-292-02,50103-292-2,955211,855211,GOGGLES,SNOW,RC SNOW ORGANIC 2 YEL VTD LENS,45.47,10,764,https://3366283.app.netsuite.com/core/media/media.nl?id=113893&c=3366283&h=a8435658f1d010bac1f8
50103-293-02,50103-293-02,50103-293-2,955210,855210,GOGGLES,SNOW,RC SNOW HARIBO 2 YEL VTD LENS,45.47,0,472,https://3366283.app.netsuite.com/core/media/media.nl?id=113860&c=3366283&h=6742a0837d8f04783cf7
50110-001-02,50110-001-02,50110-001-2,951007,851007,GOGGLES,RACECRAFT,RACECRAFT ABYSS BLK SIL LENS,48.75,2,634,https://3366283.app.netsuite.com/core/media/media.nl?id=127959&c=3366283&h=1b766018fe8d1b117402
50110-002-02,50110-002-02,50110-002-2,951008,851008,GOGGLES,RACECRAFT,RACECRAFT COBLT BLU BLU LENS,48.75,0,50,https://3366283.app.netsuite.com/core/media/media.nl?id=128939&c=3366283&h=1ca0ba241adc14c011df
50110-003-02,50110-003-02,50110-003-2,951009,851009,GOGGLES,RACECRAFT,RACECRAFT FIRE RED RED LENS,48.75,1,574,https://3366283.app.netsuite.com/core/media/media.nl?id=127621&c=3366283&h=4ac3d9eaebc00874dbf3
50110-026-02,50110-026-02,50110-026-2,951927,851927,GOGGLES,RACECRAFT,RC NEON ATTACK YEL RED LENS,48.75,0,861,https://3366283.app.netsuite.com/core/media/media.nl?id=128205&c=3366283&h=8ab836cf7473581c3f09
50110-246-02,50110-246-02,50110-246-2,954706,854706,GOGGLES,RACECRAFT,RC ERGONO BLK SIL CHR,48.75,0,632,https://3366283.app.netsuite.com/core/media/media.nl?id=104206&c=3366283&h=1dabac49c6ddd5e43b6a
50110-247-02,50110-247-02,50110-247-2,954707,854707,GOGGLES,RACECRAFT,RC GP21 WHT GLD CHR,48.75,1,419,https://3366283.app.netsuite.com/core/media/media.nl?id=104207&c=3366283&h=8e5dc85b15f10fa75f21
50110-248-02,50110-248-02,50110-248-2,954708,854708,GOGGLES,RACECRAFT,RC FLOYD PNK PNK CHR,48.75,2,239,https://3366283.app.netsuite.com/core/media/media.nl?id=104208&c=3366283&h=9359af9c9e453c866769
50110-268-02,50110-268-02,50110-268-2,955166,855166,GOGGLES,RACECRAFT,RACECRAFT BILAL NVY GLD LENS,48.75,0,154,https://3366283.app.netsuite.com/core/media/media.nl?id=104209&c=3366283&h=df0cdad8770de0faec2a
50110-271-02,50110-271-02,50110-271-2,955169,855169,GOGGLES,RACECRAFT,RACECRAFT DREAMFLOW BLU LENS,48.75,0,196,https://3366283.app.netsuite.com/core/media/media.nl?id=104212&c=3366283&h=1d7a38de9f0266cfc607
50110-313-02,50110-313-02,50110-313-2,955547,855547,GOGGLES,RACECRAFT,RACECRAFT LTD GLD LENS,48.75,0,679,https://3366283.app.netsuite.com/core/media/media.nl?id=100465&c=3366283&h=1565d7e86d8e75aca131
50110-314-02,50110-314-02,50110-314-2,955548,855548,GOGGLES,RACECRAFT,RACECRAFT KURIAKIN BLU LENS,48.75,0,893,https://3366283.app.netsuite.com/core/media/media.nl?id=100456&c=3366283&h=48abdfe4340264a24515
50110-315-02,50110-315-02,50110-315-2,955549,855549,GOGGLES,RACECRAFT,RACECRAFT ANDRE SIL LENS,48.75,189,428,https://3366283.app.netsuite.com/core/media/media.nl?id=100483&c=3366283&h=6dd3e9ba7cda90eafd24
50110-316-02,50110-316-02,50110-316-2,955550,855550,GOGGLES,RACECRAFT,RACECRAFT ALTA SIL LENS,48.75,0,471,https://3366283.app.netsuite.com/core/media/media.nl?id=100478&c=3366283&h=8a577c0762d61dea9201
50110-317-02,50110-317-02,50110-317-2,955551,855551,GOGGLES,RACECRAFT,RACECRAFT KLEPTO PNK LENS,48.75,84,975,https://3366283.app.netsuite.com/core/media/media.nl?id=100414&c=3366283&h=3ca08bfd6cc8cb663df3
50110-332-02,50110-332-02,50110-332-2,955812,855812,GOGGLES,RACECRAFT,RACECRAFT BAKKEN GLD LENS,48.75,1,956,https://3366283.app.netsuite.com/core/media/media.nl?id=128878&c=3366283&h=c3c2ac166fe76fb27811
50110-333-02,50110-333-02,50110-333-2,955813,855813,GOGGLES,RACECRAFT,RACECRAFT STUU GLD LENS,48.75,0,708,https://3366283.app.netsuite.com/core/media/media.nl?id=127998&c=3366283&h=a897fef5ecea922768b0
50110-334-02,50110-334-02,50110-334-2,955814,855814,GOGGLES,RACECRAFT,RACECRAFT SAHARA SIL LENS,48.75,57,225,https://3366283.app.netsuite.com/core/media/media.nl?id=128630&c=3366283&h=f711b33a13f52f24f3b7
50110-335-02,50110-335-02,50110-335-2,955815,855815,GOGGLES,RACECRAFT,RACECRAFT PINACLES SIL LENS,48.75,98,85,https://3366283.app.netsuite.com/core/media/media.nl?id=128273&c=3366283&h=6361775a5c64f1c6c097
50110-336-02,50110-336-02,50110-336-2,955816,855816,GOGGLES,RACECRAFT,RACECRAFT ERGOFLASH GLD LENS,48.75,0,94,https://3366283.app.netsuite.com/core/media/media.nl?id=128598&c=3366283&h=68695a3fcac76ff19961
50110-337-02,50110-337-02,50110-337-2,955817,855817,GOGGLES,RACECRAFT,RACECRAFT ANTHEM REDBLU LENS,48.75,0,863,https://3366283.app.netsuite.com/core/media/media.nl?id=128255&c=3366283&h=893947c39470c39b7d4b
50110-338-02,50110-338-02,50110-338-2,955818,855818,GOGGLES,RACECRAFT,RACECRAFT POLIET RED LENS,48.75,0,720,https://3366283.app.netsuite.com/core/media/media.nl?id=128355&c=3366283&h=649a791212236e36102d
50110-385-02,50110-385-02,50110-385-2,956211,856211,GOGGLES,RACECRAFT,RACECRAFT SUEZ RED LENS,48.75,0,275,https://3366283.app.netsuite.com/core/media/media.nl?id=128574&c=3366283&h=d75cfdcbbcaae9a9b804
50110-386-02,50110-386-02,50110-386-2,956212,856212,GOGGLES,RACECRAFT,RACECRAFT KILROY SIL LENS,48.75,0,364,https://3366283.app.netsuite.com/core/media/media.nl?id=128392&c=3366283&h=634853cd766eac787b6c
50113-001-02,50113-001-02,50113-001-2,951138,851138,GOGGLES,SNOW,RC SNOW ABYSS BLK SIL LENS,48.72,0,645,https://3366283.app.netsuite.com/core/media/media.nl?id=160676&c=3366283&h=rTfqgxXbnndXkZzLP4HFejgTo3drFOPjboIk383xOfDQ6O4x
50113-002-02,50113-002-02,50113-002-2,951139,851139,GOGGLES,SNOW,RC SNOW COBALT BLUE BLU LENS,48.72,0,889,https://3366283.app.netsuite.com/core/media/media.nl?id=161270&c=3366283&h=WpXdqgOlk5gMenQ_7GNTKW4fE5tad3YUkbAGZIEhIct8-i92
50113-003-02,50113-003-02,50113-003-2,951140,851140,GOGGLES,SNOW,RC SNOW FIRE RED RED LENS,48.72,0,735,https://3366283.app.netsuite.com/core/media/media.nl?id=161774&c=3366283&h=YkPTEygW-UnagzyL9A4FfdGHlD6olezpWVo5e7_y9jr8g_Jf
50113-026-02,50113-026-02,50113-026-2,952032,852032,GOGGLES,SNOW,RC SNOW ATTACK YEL RED LENS,48.72,0,834,https://3366283.app.netsuite.com/core/media/media.nl?id=160939&c=3366283&h=rGnAUEJo049lCSlRWlDXnfA_LEqPEwW80tVC0eL09eKIVYlH
50113-291-02,50113-291-02,50113-291-2,955212,855212,GOGGLES,SNOW,RC SNOW CRUSH 2 RED VTD LENS,48.72,0,355,https://3366283.app.netsuite.com/core/media/media.nl?id=113929&c=3366283&h=1b62d93270efa59074ff
50113-292-02,50113-292-02,50113-292-2,955213,855213,GOGGLES,SNOW,RC SNOW ORGANIC 2 RED VTD LENS,48.72,0,976,https://3366283.app.netsuite.com/core/media/media.nl?id=113770&c=3366283&h=b2fa6382ba160f14d811
50113-293-02,50113-293-02,50113-293-2,955214,855214,GOGGLES,SNOW,RC SNOW HARIBO 2 GRN VTD LENS,48.72,20,959,https://3366283.app.netsuite.com/core/media/media.nl?id=113866&c=3366283&h=ec87b14894f573e45207
50120-276-02,50120-276-02,50120-276-2,955161,855161,GOGGLES,RACECRAFT PLUS,RC PLUS ILLUMINA SIL FLSH LENS,55.25,0,28,https://3366283.app.netsuite.com/core/media/media.nl?id=104221&c=3366283&h=ab480c9c5006f7299abf
50120-277-02,50120-277-02,50120-277-2,955162,855162,GOGGLES,RACECRAFT PLUS,RC PLUS JIVA SIL FLSH LENS,55.25,0,541,https://3366283.app.netsuite.com/core/media/media.nl?id=104222&c=3366283&h=5db8dfd19bcfda89dc0e
50120-279-02,50120-279-02,50120-279-2,955164,855164,GOGGLES,RACECRAFT PLUS,RC PLUS RODION SIL FLSH LENS,55.25,0,820,https://3366283.app.netsuite.com/core/media/media.nl?id=104224&c=3366283&h=11c1398d7072b2a86bfb
50120-339-02,50120-339-02,50120-339-2,955809,855809,GOGGLES,RACECRAFT PLUS,RC PLUS FASTO SIL MIR LENS,55.25,0,705,https://3366283.app.netsuite.com/core/media/media.nl?id=127637&c=3366283&h=850fe34fd26ffffc522e
50120-340-02,50120-340-02,50120-340-2,955810,855810,GOGGLES,RACECRAFT PLUS,RC PLUS COSTUME SIL MIR LENS,55.25,0,706,https://3366283.app.netsuite.com/core/media/media.nl?id=128450&c=3366283&h=35d1ebb9daca23a7bb6a
